ENSGene	GRCh38	GRCh37
ENSG00000235035	AC005234.1	AC007395.3
ENSG00000223548	AC034228.1	AC034228.3
ENSG00000260790	AC092338.2	RP11-21M24.2
ENSG00000228790	AC245128.2	AC098784.1
ENSG00000230229	AC010163.2	RP11-90J7.4
ENSG00000265217	AC090358.1	RP11-775G23.1
ENSG00000272343	AC107952.2	RP11-140I16.3
ENSG00000264232	LINC01916	RP11-453M23.1
ENSG00000235990	RPL23AP20	RP11-323D18.5
ENSG00000232197	AL596442.1	RP11-302L19.1
ENSG00000164430	CGAS	MB21D1
ENSG00000264058	AC073508.2	KRT222
ENSG00000228616	AF274858.2	RP11-66N11.7
ENSG00000232850	PTGES2-AS1	AL590708.2
ENSG00000258930	AC005230.1	RP5-1163L11.2
ENSG00000128581	IFT22	RABL5
ENSG00000258505	AL442163.2	RP11-90P16.1
ENSG00000255075	CENPUP1	RP11-23B7.3
ENSG00000226717	PTPRD-AS2	RP11-87N24.2
ENSG00000253287	AC104012.1	RP11-281N10.1
ENSG00000240388	AC008799.1	CTD-2061E19.1
ENSG00000241720	AL158847.1	RP4-735C1.4
ENSG00000251093	AC093281.2	RP11-414H23.3
ENSG00000236360	AL445183.3	RP11-334A14.2
ENSG00000232379	AL390879.1	RP11-308D16.1
ENSG00000253629	AP000426.1	KB-1107E3.1
ENSG00000251199	AC109830.1	RP11-400D2.2
ENSG00000237283	AL691515.1	RP11-316I3.1
ENSG00000150732	AL136372.1	RP11-134C1.1
ENSG00000229852	AC019205.2	RP11-398K22.12
ENSG00000232145	AC099548.1	RP11-307I2.1
ENSG00000251497	PITPNM2-AS1	RP11-197N18.7
ENSG00000250057	AC114781.2	RP11-576N17.5
ENSG00000270132	AF192304.1	WISP1-OT1
ENSG00000270276	HIST2H4B	HIST1H4A
ENSG00000268892	AC010620.1	CTD-3233P19.8
ENSG00000254579	AC013488.1	RP11-407P18.1
ENSG00000266916	ZNF793-AS1	CTD-3064H18.1
ENSG00000259067	AL583810.3	CTD-3051D23.3
ENSG00000261219	AC090651.1	RP11-344A16.2
ENSG00000265751	AC015878.1	RP11-296E23.1
ENSG00000254081	LINC01299	CTD-3025N20.2
ENSG00000243007	RPL12P35	RP11-106M3.1
ENSG00000253470	AC016074.1	RP11-697B24.1
ENSG00000271356	AC073091.2	RP11-335E8.1
ENSG00000233880	AL161722.2	RP11-497J7.2
ENSG00000254325	AC018607.1	RP11-318K15.2
ENSG00000225393	BX571846.1	RP11-218L14.4
ENSG00000111077	TNS2	TENC1
ENSG00000267592	AC004134.1	CTC-507E2.2
ENSG00000259424	AC118658.1	RP11-35O15.1
ENSG00000260269	AC105036.3	CTD-2323K18.1
ENSG00000232334	AL683842.1	RP11-47G11.2
ENSG00000267477	AC008481.3	CTC-398G3.6
ENSG00000270894	AC015849.4	AC015849.13
ENSG00000254508	FBXO3-AS1	RP11-646J21.5
ENSG00000233620	AC093581.1	RP11-22M7.2
ENSG00000261270	AC012181.3	RP11-325K4.3
ENSG00000224216	AC234781.1	RP13-228J13.1
ENSG00000261114	AC012181.2	RP11-325K4.2
ENSG00000213303	AC008481.1	CTC-398G3.2
ENSG00000259652	AC090181.1	RP11-797A18.3
ENSG00000255025	AF228730.5	AF228730.13
ENSG00000238200	MGAT2P2	RP13-36C9.5
ENSG00000236844	AC069213.3	AC091633.2
ENSG00000228929	RPS13P2	RP11-159C21.4
ENSG00000225008	AC234781.2	RP13-228J13.6
ENSG00000228986	AC234781.3	RP13-228J13.8
ENSG00000247345	AC092343.1	RP11-266N13.2
ENSG00000230491	AC234781.4	RP13-228J13.10
ENSG00000252303	RNU6-280P	RNU6-1221P
ENSG00000207187	SNORA10B	SNORA64
ENSG00000265733	SNORA74C-1	SNORA74
ENSG00000207155	RNY1P14	Y_RNA
ENSG00000266017	MIR4477B	MIR4477A
ENSG00000263872	MIR4528	hsa-mir-4528
