ENSGene	GRCh38	GRCh37
ENSG00000260966	AP001486.2	RP11-690D19.3
ENSG00000256211	AC023512.1	RP11-1018J11.1
ENSG00000231742	LINC01273	RP11-112L6.4
ENSG00000242902	FLNC-AS1	RP11-309L24.2
ENSG00000260764	AC007224.1	RNU7-63P
ENSG00000254158	AC104117.4	RP11-281O15.5
ENSG00000265018	AGAP12P	CTGLF12P
ENSG00000168333	PPDPFL	C8orf22
ENSG00000213328	AC104117.1	RP11-281O15.2
ENSG00000266181	EIF4A3P1	RP11-178F10.4
ENSG00000198211	AC092143.1	TUBB3
ENSG00000249448	MTCO1P24	RP11-474J18.1
ENSG00000252239	U6	RNU6-1185P
ENSG00000207217	SNORA80D	SNORA42
ENSG00000263914	MTND2P13	RP11-846F4.5
ENSG00000266885	AC132825.4	RP11-744K17.2
ENSG00000219433	BTBD10P2	RP11-350J20.4
ENSG00000223381	AL356476.1	RP11-655H13.2
ENSG00000251031	AC132803.1	CTC-367F4.1
ENSG00000249229	NAMPTP2	CTC-342P15.1
ENSG00000213488	AC008716.1	CTB-85P21.1
ENSG00000265099	AC090774.2	RP11-344E13.1
ENSG00000263986	AC087393.2	RP11-746M1.1
ENSG00000259155	AL591767.3	RP11-831F12.3
ENSG00000264874	AC087499.7	AC087499.8
ENSG00000225768	AL161646.1	RP11-127O4.3
ENSG00000258377	AL139099.2	RP11-649E7.5
ENSG00000264981	AC015818.5	RP11-434D2.10
ENSG00000271588	LARP7P1	RP11-435P24.3
ENSG00000260907	AC015818.2	AC008088.4
ENSG00000245146	MALINC1	LINC01024
ENSG00000259755	AC090907.2	RP11-505E24.2
ENSG00000259583	AC015712.2	RP11-66B24.4
ENSG00000263069	AC124319.2	CTD-2047H16.4
ENSG00000271792	AC008667.4	CTB-35F21.5
ENSG00000251387	AC008667.3	CTB-35F21.3
ENSG00000255286	AP000907.2	RP11-708L7.7
ENSG00000255334	AP000907.3	RP11-708L7.6
ENSG00000266970	AC061992.1	RP11-806H10.4
ENSG00000248350	AC010265.1	CTC-470E21.1
ENSG00000249541	AC116359.1	RP11-692C23.1
ENSG00000265263	AC124066.1	RP11-135L13.4
ENSG00000232743	ELF2P3	XXyac-YM21GA2.1
ENSG00000255855	KDM4F	RP11-735A19.2
ENSG00000269242	AC010422.3	CTD-2192J16.22
ENSG00000261347	AP000439.4	AP000439.5
ENSG00000272023	AC010240.3	CTC-350I8.1
ENSG00000255980	AP000439.3	AP000439.1
ENSG00000213525	AL357037.1	RP11-383B24.3
ENSG00000217767	NDUFAB1P1	RP11-160A9.2
ENSG00000271313	AC069114.2	RP11-736G13.2
ENSG00000265946	AC090312.2	RP11-752P2.2
ENSG00000265352	LINC01899	RP11-723G8.2
ENSG00000234912	SNHG20	LINC00338
ENSG00000250790	AC127070.3	RP11-46H11.3
ENSG00000258412	AL355102.1	RP11-404P21.5
ENSG00000250124	AC016550.3	CTC-261N6.2
ENSG00000260259	LINC02166	RP11-368I7.4
ENSG00000254130	LINC01947	CTB-7E3.1
ENSG00000271710	NDUFA8P1	RP11-312P12.3
ENSG00000249423	AC109464.3	RP11-284A20.1
ENSG00000271171	AC008555.6	CTC-523E23.15
ENSG00000249261	AC109464.2	RP11-284A20.2
ENSG00000270544	AC008555.3	CTC-523E23.14
ENSG00000248443	AC109464.1	RP11-284A20.3
ENSG00000267604	AC003098.1	RP5-905N1.2
ENSG00000211974	IGHV2-70D	IGHV2-70
ENSG00000267078	AC015802.1	RP11-666A8.9
ENSG00000248406	AC008758.3	CTD-3105H18.4
ENSG00000196634	LUADT1	RP3-337D23.3
ENSG00000254990	AP001781.2	RP11-108O10.2
ENSG00000250438	AC025465.3	CTD-2308B18.2
ENSG00000257520	AL132857.1	RP11-896J10.3
ENSG00000266278	LINC01910	RP11-41O4.2
ENSG00000232615	AC026412.2	CTD-2012J19.1
ENSG00000226133	AL356289.1	RP4-683M8.2
ENSG00000225028	AC096541.1	RP11-330M19.1
ENSG00000270299	AL121758.1	RP5-850E9.3
ENSG00000227947	LINC01738	RP11-543D5.1
ENSG00000259834	AL365361.1	RP11-284N8.3
ENSG00000258012	AC026111.1	RP11-603K19.1
ENSG00000261826	AC121333.1	RP11-691G17.1
ENSG00000237567	Z97206.2	RP3-359N14.2
ENSG00000268400	AC008763.2	CTD-3214H19.4
ENSG00000255931	AP003108.1	RP11-286N22.10
ENSG00000243345	AC093714.2	RP11-458K10.3
ENSG00000258959	AL118558.1	RP11-1017G21.4
ENSG00000248967	AC022493.2	RP11-241J12.3
ENSG00000258615	AL117187.1	RP11-725G5.3
ENSG00000232485	AC098820.1	AC098820.3
ENSG00000244513	AC109587.1	CTD-2013N24.2
ENSG00000254814	AP003031.1	RP11-535A19.1
ENSG00000258938	AL162311.3	RP11-317N8.5
ENSG00000257307	AL162311.2	RP11-317N8.4
ENSG00000257826	AL133304.2	RP11-116N8.4
ENSG00000203993	ARRDC1-AS1	C9orf37
ENSG00000236731	AL135929.2	RP4-801G22.2
ENSG00000253723	AC107934.2	RP11-960H2.1
ENSG00000253413	AC107934.1	RP11-960H2.2
ENSG00000249184	AC107074.1	RP11-424M21.1
ENSG00000249708	AC112242.1	RP11-503L23.1
ENSG00000256299	AC073912.2	RP11-989F5.3
ENSG00000258752	AL357093.2	RP11-356K23.1
ENSG00000235740	PHACTR2-AS1	RP11-436I24.1
ENSG00000233216	AL357373.1	RP11-414C16.1
ENSG00000231560	CLEC12A-AS1	AC091814.3
ENSG00000262823	AC127521.1	RP13-580F15.2
ENSG00000254540	AC040936.1	CTD-2140G10.4
ENSG00000235991	BX293995.1	RP11-143H17.1
ENSG00000270655	AL031320.1	RP1-20N2.7
ENSG00000167355	AC087380.1	AC104389.28
ENSG00000258740	AL691403.1	RP11-293M10.1
ENSG00000225002	AL732323.1	RP11-6F6.1
ENSG00000228143	AL512649.1	RP11-308N19.5
ENSG00000234810	AL603840.1	RP11-466L17.1
ENSG00000232198	MTCO2P34	RP4-633H17.2
ENSG00000234567	AL024497.2	RP1-283K11.2
ENSG00000243831	AL109933.2	RP1-81D8.4
ENSG00000223542	AL024497.1	RP1-283K11.3
ENSG00000245498	AP000866.1	RP11-677M14.7
ENSG00000235201	LINC02578	RP11-127L21.1
ENSG00000268601	AC115522.1	AC115522.3
ENSG00000242568	AC121764.2	RP11-875H7.1
ENSG00000242775	AC121764.3	RP11-875H7.2
ENSG00000251538	LINC02201	RP11-166A12.1
ENSG00000231901	AL354754.1	RP11-281A20.1
ENSG00000271395	LINC02336	RP11-75N6.3
ENSG00000228512	AL160272.1	RP11-281A20.2
ENSG00000236848	RPL23AP95	RP11-401L13.5
ENSG00000235415	AC005808.1	AC005808.3
ENSG00000197670	AL157838.1	RP4-724E16.2
ENSG00000254460	AP002815.1	RP11-939C17.4
ENSG00000215893	RPL23AP17	RP4-635E8.1
ENSG00000255045	AP000866.5	RP11-677M14.2
ENSG00000225050	AL355592.1	RP11-349E4.1
ENSG00000197768	STPG3	C9orf173
ENSG00000253403	AC091944.1	RP11-348M17.2
ENSG00000267002	AC060780.1	RP11-242D8.1
ENSG00000227895	ISX-AS1	RP1-272J12.1
ENSG00000249510	AP003478.1	KB-1247B1.1
ENSG00000267107	PCAT19	AC011526.1
ENSG00000248262	AC108037.1	RP11-1J7.1
ENSG00000223784	LINP1	RP11-554I8.2
ENSG00000233138	AL023584.1	RP1-67K17.3
ENSG00000225948	AL158210.1	RP11-554I8.1
ENSG00000237851	AL023584.2	RP1-67K17.4
ENSG00000236432	AC097662.1	AC097662.2
ENSG00000251009	AC133961.1	RP13-494C23.1
ENSG00000250541	AC092436.4	RP11-302F12.10
ENSG00000261665	TUBAP4	TUBA8P2
ENSG00000249839	AC011330.1	AC011330.5
ENSG00000248749	AC104063.1	RP11-42A4.1
ENSG00000268987	AC011462.3	CTC-435M10.10
ENSG00000250546	AC079160.1	RP11-8L2.1
ENSG00000253666	AP000424.1	KB-1615E4.2
ENSG00000266469	AC005288.1	CTB-131K11.1
ENSG00000250309	AC008453.1	CTC-345K18.2
ENSG00000249171	AC021192.1	RP11-767N15.1
ENSG00000271596	AC008121.1	RP11-407N8.4
ENSG00000230846	AL158154.1	RP11-383M4.2
ENSG00000267559	AL158154.2	RP11-383M4.6
ENSG00000266560	AF274856.1	RP11-1007I13.4
ENSG00000248863	AC097376.1	RP11-83A24.1
ENSG00000224404	Z68323.1	LL22NC03-13G6.2
ENSG00000221886	ZBED8	C5orf54
ENSG00000261253	AC137932.2	AC137932.6
ENSG00000261692	AC092120.2	RP1-168P16.1
ENSG00000108516	AC003958.1	AC003958.6
ENSG00000228008	AC105935.1	CTD-2330K9.3
ENSG00000225432	BX247947.1	XXbac-BPG13B8.10
ENSG00000256482	AC023796.2	RP11-625L16.3
ENSG00000230698	AC105935.2	CTD-2330K9.2
ENSG00000254890	AP003049.1	RP11-10A7.1
ENSG00000270335	AC093159.2	RP11-642D6.1
ENSG00000187616	MYMK	TMEM8C
ENSG00000272515	AL355578.1	RP11-29P20.1
ENSG00000269834	ZNF528-AS1	CTD-3018O17.3
ENSG00000258646	AL049780.1	RP11-950C14.3
ENSG00000265460	AC015910.1	RP11-690G19.4
ENSG00000255404	AP001266.1	RP11-770G2.5
ENSG00000234948	LINC01524	RP4-723E3.1
ENSG00000232465	AL049765.1	RP5-1022J11.2
ENSG00000225785	AL109610.1	RP4-583K8.1
ENSG00000258378	AL139021.1	RP11-517O13.1
ENSG00000219273	AL035555.1	RP1-217P22.2
ENSG00000260659	AC009113.2	RP11-46C24.6
ENSG00000259877	AC009113.1	RP11-46C24.7
ENSG00000214039	LINC02418	RP11-474D1.3
ENSG00000232252	AL354994.1	RP11-30L8.1
ENSG00000138678	GPAT3	AGPAT9
ENSG00000244757	AL137024.1	RP11-45A16.4
ENSG00000266036	AC016888.1	MIR3615
ENSG00000228735	AC011228.1	GS1-18A18.2
ENSG00000235527	HIPK1-AS1	RP5-1073O3.7
ENSG00000262094	AC139099.1	AC139099.5
ENSG00000242407	AC091179.2	CTD-2377D24.4
ENSG00000232564	AL031594.1	RP4-591N18.2
ENSG00000265713	AC023389.2	RP11-82O19.2
ENSG00000265739	AC104984.3	RP11-354P11.3
ENSG00000234106	AP004242.1	RP11-288E14.2
ENSG00000253916	MTCO1P49	CTD-2309H9.2
ENSG00000261220	AC103706.1	RP11-629O1.2
ENSG00000251602	AL928654.2	RP11-521B24.3
ENSG00000258302	AC025034.1	RP11-981P6.1
ENSG00000254339	AC064802.1	RP11-267L5.1
ENSG00000260757	AC093520.1	RP11-120K18.2
ENSG00000269125	AL137002.1	RP11-98F14.11
ENSG00000186710	CFAP73	CCDC42B
ENSG00000265136	AC124283.4	RP13-638C3.6
ENSG00000231080	AL592161.1	RP11-342H21.2
ENSG00000261835	AC007610.3	RP11-429P3.2
ENSG00000233230	AC079807.1	AC079807.2
ENSG00000213752	AL008718.1	CTA-268H5.9
ENSG00000235193	AC006987.2	AC006987.4
ENSG00000242978	PPIAP83	RP4-545C24.5
ENSG00000225183	AL353898.1	RP4-758J24.4
ENSG00000248106	AC116353.2	AC005609.2
ENSG00000269692	FKBP4P2	RP11-45O22.1
ENSG00000237707	AL031726.1	RP5-1018K9.1
ENSG00000224038	BX005214.1	RP11-347J14.8
ENSG00000230234	AL162582.1	RP1-276N6.2
ENSG00000234308	LINC01878	AC093381.2
ENSG00000272254	AC022893.3	RP11-531A24.7
ENSG00000269082	AC010328.3	CTD-2620I22.1
ENSG00000256986	AC140847.3	RP11-313F23.2
ENSG00000230975	AC012355.1	AC084193.1
ENSG00000255628	AC140847.1	RP11-313F23.3
ENSG00000254347	AC011131.1	RP11-351E7.1
ENSG00000232702	AL158050.1	RP3-437C15.1
ENSG00000212989	AC124293.1	RP11-351E7.2
ENSG00000271250	AL158032.1	RP11-101P17.14
ENSG00000267461	AC079210.1	RP11-120M18.5
ENSG00000240963	AL645465.1	RP11-518L10.5
ENSG00000095397	WHRN	DFNB31
ENSG00000271214	AL138895.2	RP11-9M16.3
ENSG00000264472	AC096708.3	RP11-861L17.3
ENSG00000264149	AC103987.2	RP11-268I9.3
ENSG00000256321	AC087258.1	RP11-153K16.1
ENSG00000115934	AC087235.1	RP11-153K16.2
ENSG00000247131	AC025263.1	RP11-588G21.2
ENSG00000258199	AC073896.4	RP11-977G19.5
ENSG00000196636	SDHAF3	ACN9
ENSG00000203396	AL512646.1	RP11-217O12.1
ENSG00000266472	MRPS21	AC242988.1
ENSG00000249219	AC108199.1	RP13-560N11.1
ENSG00000256633	AP005019.1	RP11-169D4.2
ENSG00000264057	AC103810.1	RP11-583F2.1
ENSG00000259079	AC005476.1	RP1-261D10.1
ENSG00000265478	AC107982.3	CTD-2145A24.3
ENSG00000258998	LINC02302	RP11-398E10.1
ENSG00000257035	AC025252.2	RP11-351O2.2
ENSG00000258581	AL157871.3	RP11-638I2.10
ENSG00000273454	AC112503.2	RP11-797D24.3
ENSG00000251105	AC110792.2	RP11-571I18.2
ENSG00000236046	AC004920.1	AC004920.3
ENSG00000101898	MCTS2P	RP3-324O17.4
ENSG00000255340	AC087276.3	RP11-484D2.5
ENSG00000248869	LINC02511	RP11-138I17.1
ENSG00000271746	AL031848.2	RP1-202O8.3
ENSG00000256362	LINC02375	RP11-955H22.3
ENSG00000254641	AC091564.3	RP11-732A19.2
ENSG00000250665	AC073429.1	RP11-775H9.1
ENSG00000260583	AP000223.1	LINC00515
ENSG00000100731	PCNX1	PCNX
ENSG00000258969	LINC02307	RP11-305B6.3
ENSG00000259977	AL121578.3	AL121578.2
ENSG00000163050	COQ8A	ADCK3
ENSG00000229146	SNX18P4	SNX18P5
ENSG00000228525	AL353689.1	RP5-1087E8.2
ENSG00000230714	AL355526.1	RP11-152L7.1
ENSG00000249345	LINC02405	RP11-575F12.1
ENSG00000239216	AL139420.2	RP4-712E4.2
ENSG00000227200	AL162724.1	RP11-121A14.3
ENSG00000235204	AL162724.2	RP11-121A14.2
ENSG00000225919	LINC01745	RP11-66A2.1
ENSG00000234921	AC006450.2	RP11-85O21.5
ENSG00000258480	AL352977.2	RP11-662J14.2
ENSG00000258526	AL049875.1	RP11-111A21.1
ENSG00000250812	AC021220.1	RP11-530I17.2
ENSG00000249472	AC147055.2	RP11-1267H10.2
ENSG00000251213	AC012055.2	RP11-248N22.2
ENSG00000240211	AC092849.1	RP11-758P17.3
ENSG00000262791	AC130343.1	RP11-961A15.1
ENSG00000230736	AL021937.1	RP1-149A16.3
ENSG00000258519	AL121579.1	RP11-349A22.3
ENSG00000251216	AC106895.2	RP11-161D15.3
ENSG00000268235	TCP11X1	AC234791.1
ENSG00000250043	AC106895.1	RP11-161D15.2
ENSG00000268530	AC008403.2	CTC-273B12.5
ENSG00000251571	DDX3P3	DDX3YP3
ENSG00000267319	SELENOKP1	CTD-2528L19.3
ENSG00000267115	AC022148.2	CTD-3064H18.2
ENSG00000225376	TMEM246-AS1	RP11-490D19.6
ENSG00000248977	AC095057.1	RP11-395I6.1
ENSG00000237439	Z83839.1	RP1-127L4.10
ENSG00000233817	AL162727.1	RP11-168K11.3
ENSG00000264186	SNRPCP4	RP11-737O24.4
ENSG00000239674	Z83839.2	RP1-127L4.7
ENSG00000227482	AL157702.2	RP11-18B16.2
ENSG00000214669	AL157702.1	RP11-18B16.1
ENSG00000232905	AL162393.1	RP11-534I8.1
ENSG00000235118	FAM237A	AC010731.4
ENSG00000263606	AP000919.1	RP11-737O24.3
ENSG00000254498	AC104042.1	CTD-2119L1.1
ENSG00000163535	SGO2	SGOL2
ENSG00000250191	AC105252.1	RP11-285A15.1
ENSG00000265907	AP000919.2	RP11-737O24.2
ENSG00000237827	RPS15AP29	RP11-332O19.2
ENSG00000223401	BCL6-AS1	RP11-211G3.2
ENSG00000228804	AC072022.1	RP11-211G3.3
ENSG00000213083	AC010731.1	AC010731.6
ENSG00000253644	AP001208.1	KB-1930G5.3
ENSG00000251352	AC122714.2	RP11-451H23.2
ENSG00000248717	LINC02222	RP11-451H23.3
ENSG00000254516	AC103798.1	RP11-159D8.1
ENSG00000254084	AP001208.2	KB-1930G5.4
ENSG00000254784	LRRC6P1	RP11-436H16.1
ENSG00000256125	AC005868.1	RP5-944M2.4
ENSG00000255477	AC021713.1	RP11-63D14.1
ENSG00000214043	LINC02347	RP5-944M2.3
ENSG00000260530	AC010551.2	RP11-558A11.2
ENSG00000255175	AC022796.1	RP11-277K23.1
ENSG00000260504	AC010551.1	RP11-558A11.3
ENSG00000249951	AC108067.1	RP11-554D13.1
ENSG00000271868	AC114810.1	RP11-1293J14.1
ENSG00000235078	AC231981.1	AC142528.1
ENSG00000239628	AC073288.1	RP11-543D10.2
ENSG00000254024	AP001207.3	KB-1562D12.1
ENSG00000253991	AP001207.2	KB-1562D12.2
ENSG00000249599	BMPR1B-AS1	RP11-168E14.1
ENSG00000253153	AP001207.1	KB-1562D12.3
ENSG00000226843	AL606753.1	RP11-2P2.1
ENSG00000258345	AC034102.7	RP11-603J24.6
ENSG00000256811	AC079360.1	RP11-7M8.2
ENSG00000100557	CCDC198	C14orf105
ENSG00000258317	AC034102.6	RP11-603J24.5
ENSG00000234318	AC099794.1	RP4-771M4.3
ENSG00000240790	AC073934.1	AC073934.6
ENSG00000272077	AC124045.1	RP11-348P10.2
ENSG00000237163	AC099794.2	RP4-771M4.2
ENSG00000236869	AC099669.1	RP11-944L7.4
ENSG00000226493	RPL26P27	RP11-524O24.2
ENSG00000240265	AC099328.1	RP11-62G11.1
ENSG00000188596	CFAP54	C12orf55
ENSG00000231710	CR759814.1	XXbac-BPG248L24.10
ENSG00000253775	AC100802.1	AC100802.3
ENSG00000235122	AL121974.1	RP3-417L20.4
ENSG00000223538	AC079602.1	RP11-216P16.6
ENSG00000226707	AL359458.1	RP11-719J20.1
ENSG00000253841	AC024681.1	RP11-622O11.5
ENSG00000229537	LINC01739	RP11-5P4.1
ENSG00000227485	AL162400.1	RP11-5P4.2
ENSG00000245156	AP001107.1	RP11-867G23.3
ENSG00000241026	AC105910.1	CTD-2036J7.1
ENSG00000229225	AL162400.2	RP11-5P4.3
ENSG00000223683	RPSAP65	AL138935.1
ENSG00000244791	AC087667.1	RP11-65D17.1
ENSG00000203605	AC096543.1	RP11-335E6.2
ENSG00000228734	AC096543.2	RP11-335E6.3
ENSG00000271174	AC104440.1	RP11-814M22.2
ENSG00000254562	LINC01493	RP11-64I17.1
ENSG00000244730	AC139451.1	RP13-1056D16.2
ENSG00000241326	AL603962.1	RP11-807G9.2
ENSG00000228150	AL357140.2	RP11-84A14.4
ENSG00000240975	AC021723.1	RP11-313M3.1
ENSG00000253427	AC084116.2	RP11-103H7.1
ENSG00000270588	AC021749.1	RP11-810F22.1
ENSG00000253220	AC084116.1	RP11-103H7.2
ENSG00000239587	AC018730.1	AC018730.4
ENSG00000269707	AC018730.2	RP11-13J10.1
ENSG00000253530	AC084116.3	RP11-103H7.3
ENSG00000231856	AL162377.1	RP11-327P2.5
ENSG00000234937	AL139128.1	RP11-101O6.2
ENSG00000254286	AC083923.2	RP11-89K10.1
ENSG00000259343	TMC3-AS1	RP11-761I4.3
ENSG00000254010	AC084116.4	RP11-103H7.5
ENSG00000253543	AC083923.1	RP11-89K10.2
ENSG00000127922	SEM1	SHFM1
ENSG00000261453	LINC01735	RP11-565N2.1
ENSG00000259815	AC099793.1	RP11-565N2.2
ENSG00000254452	AP001107.2	RP11-867G23.4
ENSG00000232812	LINC01717	RP11-459K23.2
ENSG00000270726	AJ271736.1	AJ271736.10
ENSG00000236950	LINC01774	RP5-1051D14.1
ENSG00000266933	AC005775.1	AC005775.2
ENSG00000231866	AC099677.2	RP4-631H13.4
ENSG00000230953	AC099677.1	RP4-631H13.6
ENSG00000232537	AC092810.3	RP11-385M4.1
ENSG00000228081	AC092810.2	RP11-385M4.2
ENSG00000224540	AC092810.1	RP11-385M4.3
ENSG00000227940	LINC01696	RP11-372M18.1
ENSG00000231648	LINC01698	RP11-372M18.2
ENSG00000256739	AP002892.2	RP11-45F15.1
ENSG00000255843	AP000593.3	AP000593.7
ENSG00000259610	AC023034.2	RP11-499F3.1
ENSG00000259692	AC104041.1	RP11-499F3.2
ENSG00000259543	AC060809.1	CTD-2034I4.1
ENSG00000259594	AC023034.1	CTD-2034I4.2
ENSG00000244266	AC090058.1	RP11-112N23.1
ENSG00000253931	AC105118.1	RP11-909N17.2
ENSG00000254338	MAFA-AS1	RP11-909N17.3
ENSG00000206142	AP000552.1	FAM230C
ENSG00000231351	AC111200.2	AC111200.7
ENSG00000272827	AL391813.2	RP11-445P19.3
ENSG00000229368	AC090587.2	AC090587.4
ENSG00000240579	AC006529.1	RP11-20L24.1
ENSG00000228661	AC090587.1	AC090587.5
ENSG00000237407	AP000552.3	KB-1183D5.14
ENSG00000255232	AC087441.2	RP11-438N5.4
ENSG00000227716	AP000459.1	AP000459.7
ENSG00000255099	AC023245.2	RP11-25D10.2
ENSG00000241385	AC023245.1	RP11-25D10.1
ENSG00000273265	CNNM3-DT	RP11-353K11.1
ENSG00000259362	AC046168.1	RP11-307C19.1
ENSG00000258856	AL136520.1	CTD-2325K12.1
ENSG00000248761	AC091874.2	CTD-2593A12.2
ENSG00000249287	AC091874.3	CTD-2593A12.3
ENSG00000213110	AC019178.1	AC019178.2
ENSG00000255347	AC021820.1	RP11-40H19.1
ENSG00000255402	AC027451.1	RP11-696P8.2
ENSG00000259039	AL161804.1	RP11-409I10.2
ENSG00000231228	AC091874.1	CTD-2593A12.4
ENSG00000240590	RPSAP48	RP11-403P13.1
ENSG00000227437	RPS8P4	RP11-179H18.5
ENSG00000253956	AC073023.1	RP11-211F2.1
ENSG00000270882	HIST2H4A	HIST1H4A
ENSG00000219492	AC116655.1	RP11-1396O13.13
ENSG00000261672	AC079789.1	RP11-475B2.1
ENSG00000230120	AL008723.2	RP1-90G24.8
ENSG00000226114	NDUFB4P5	AC111200.8
ENSG00000234021	AL596451.1	RP11-75C9.2
ENSG00000260385	AL356961.1	RP11-450H6.3
ENSG00000234360	AL135790.2	RP11-87N24.1
ENSG00000263677	AC012588.1	RP11-17A19.2
ENSG00000230920	AL513422.1	RP11-527D15.1
ENSG00000265369	PCAT18	U3
ENSG00000225706	PTPRD-AS1	RP11-75C9.1
ENSG00000188438	DEFB108F	RP11-1396O13.14
ENSG00000232773	DEFB130D	RP11-1396O13.15
ENSG00000255767	AC108488.2	RP13-512J5.1
ENSG00000270497	BX322635.1	RP1-290F12.3
ENSG00000268465	AC008403.1	CTC-273B12.7
ENSG00000241870	AC008620.1	CTB-14A14.1
ENSG00000248560	AC008620.2	CTB-14A14.2
ENSG00000174899	PQLC2L	C3orf55
ENSG00000257105	AC006581.1	RP11-259O18.4
ENSG00000248473	LINC01962	CTC-338M12.2
ENSG00000235449	AC098934.3	RP11-480I12.2
ENSG00000253572	AC108482.1	RP11-107N7.1
ENSG00000255236	AP002992.1	CTD-2655K5.1
ENSG00000257759	AL357153.2	RP11-486O13.4
ENSG00000242082	SLC5A4-AS1	RP1-90G24.10
ENSG00000186146	DEFB131A	DEFB131
ENSG00000253801	AC010376.1	CTD-2060F24.1
ENSG00000236505	AL356379.1	RP1-63P18.2
ENSG00000271598	AC008739.3	CTD-2542C24.9
ENSG00000224555	AC087441.1	RP11-438N5.2
ENSG00000253787	LINC02219	RP11-404L6.2
ENSG00000213605	AC111200.1	AC111200.2
ENSG00000268705	BNIP3P26	CTD-2561J22.6
ENSG00000230593	PPIAP40	AC090804.1
ENSG00000179073	TAAR3P	TAAR3
ENSG00000266985	AC010485.1	CTD-2329C7.2
ENSG00000223716	AL135785.1	RP11-113O24.3
ENSG00000248740	LINC02428	RP11-328K4.1
ENSG00000231851	UTAT33	AC104655.2
ENSG00000253107	AC090819.1	CTD-2544L4.1
ENSG00000253122	AC025366.1	RP11-238I10.1
ENSG00000253573	AC024382.1	RP11-351C8.1
ENSG00000270982	AL353621.2	RP11-490D19.11
ENSG00000253717	AP005357.1	KB-1299A7.2
ENSG00000250920	AC105460.1	RP11-297P16.4
ENSG00000250222	AC008443.5	CTC-338M12.5
ENSG00000251577	AC105460.2	RP11-297P16.3
ENSG00000271339	AL683813.2	RP11-1114A5.6
ENSG00000250900	AC008443.6	CTC-338M12.6
ENSG00000255132	AC090138.1	RP11-63C8.1
ENSG00000233055	AL353621.1	RP11-490D19.8
ENSG00000242282	AC108488.1	AC108488.4
ENSG00000248514	AC008443.4	CTC-338M12.1
ENSG00000256888	LINC02366	RP13-81N3.2
ENSG00000240661	AC063952.1	RP11-174O3.3
ENSG00000231297	AL627443.1	SNORD45
ENSG00000249516	PRELID3BP6	CTD-2201E18.2
ENSG00000250358	LINC02200	RP11-159K7.2
ENSG00000235368	SAPCD2P2	RP11-114G11.2
ENSG00000266416	AC130289.2	RP1-66C13.2
ENSG00000271652	AL356052.1	RP11-168P6.2
ENSG00000251014	AC137549.1	RP11-159K7.1
ENSG00000265041	AC015688.3	RP11-19P22.7
ENSG00000259915	AC017071.1	RP11-410E4.1
ENSG00000266910	AC008507.1	CTC-448F2.6
ENSG00000258313	AC084879.2	RP11-167N24.5
ENSG00000223918	AL513328.1	RP13-461N9.2
ENSG00000260148	AC009090.2	RP11-407G23.1
ENSG00000115239	ASB3	GPR75-ASB3
ENSG00000273062	AL449106.1	RP11-428K3.1
ENSG00000257037	RARSP1	RP13-200J3.2
ENSG00000260953	AC009093.4	RP11-426C22.6
ENSG00000259807	AC009093.1	RP11-426C22.4
ENSG00000232732	AC097717.1	AC073043.1
ENSG00000234222	LIX1L-AS1	RP11-315I20.1
ENSG00000228851	MTCO3P4	RP11-1217F2.10
ENSG00000229199	AL805909.1	XXbac-BPG118E17.9
ENSG00000227400	AC012501.1	AC012501.2
ENSG00000253312	AC022616.3	RP11-359P18.2
ENSG00000259520	AC051619.5	CTD-2651B20.3
ENSG00000262995	AC137056.1	CTD-2194A8.2
ENSG00000250966	AC023886.2	RP11-402J6.3
ENSG00000227403	LINC01806	AC009299.3
ENSG00000254291	AC011676.4	RP11-10J21.6
ENSG00000259493	AC023968.2	RP11-621H8.2
ENSG00000253307	AC011676.1	RP11-10J21.4
ENSG00000257557	PPP1R12A-AS1	RP11-84G21.1
ENSG00000242193	AL359075.1	RP11-568K15.1
ENSG00000180861	LINC01559	C12orf36
ENSG00000236837	AC139712.3	AC139712.4
ENSG00000272279	AL512329.2	RP11-157J24.2
ENSG00000231474	BX927139.1	XXbac-BPG118E17.9
ENSG00000177699	AC011944.1	RP11-16K12.1
ENSG00000249848	AC112673.1	RP11-212F11.1
ENSG00000260467	AC018552.2	RP11-405F3.4
ENSG00000260352	AC092287.1	CTD-2288F12.1
ENSG00000259390	AC022196.1	RP11-27M9.1
ENSG00000259269	AC109630.1	RP11-624L4.2
ENSG00000250796	AC112484.3	RP11-723O4.3
ENSG00000261159	AC112484.4	RP11-723O4.9
ENSG00000243022	MARK3P3	RP11-221E20.4
ENSG00000232176	AL161909.1	RP11-146N23.1
ENSG00000240131	AL049829.1	RP11-124D2.1
ENSG00000227050	AL512288.1	RP11-460I13.2
ENSG00000215368	BOD1P2	RP11-190I17.4
ENSG00000183663	AC007992.1	RP11-44N17.1
ENSG00000259601	AC092079.1	RP11-568G20.2
ENSG00000231034	AL118520.1	RP11-346K17.3
ENSG00000271595	ELOCP35	TCEB1P35
ENSG00000228665	BX679664.1	RP11-20O24.1
ENSG00000232944	AC092423.1	RP13-492C18.1
ENSG00000232361	AC069304.1	RP11-632K21.3
ENSG00000224370	AC093392.2	RP11-814E24.3
ENSG00000226636	AC006020.1	RP5-1049N15.2
ENSG00000258064	AC073612.1	RP11-293I14.2
ENSG00000272375	AC026979.4	RP11-51J9.6
ENSG00000272694	Z94160.2	RP1-63G5.8
ENSG00000260896	LINC02170	RP11-314O13.1
